tconst,primary_title,original_title,start_year,runtime_minutes,genres
tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119,"Action,Sci-Fi,Thriller"
tt0411951,Tekken,Tekken,2010,87,"Action,Crime,Drama"
tt0417610,Asleep in the Sun,Dormir al sol,2010,83,Fantasy
tt0417750,Hempsters: Plant the Seed,Hempsters: Plant the Seed,2010,90,Documentary
tt0419692,Disconnect,Disconnect,2010,112,"Drama,Mystery,Sci-Fi"
tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,122,"Biography,Drama,History"
tt0423474,Venus & Vegas,Venus & Vegas,2010,95,"Action,Comedy,Crime"
tt0424859,The Ninth Cloud,The Ninth Cloud,2014,93,Drama
tt0425785,El borde del tiempo,El borde del tiempo,2011,100,Drama
tt0426410,Beisbol,Beisbol,2010,,Documentary
tt0426566,Pots and Pans,Acorralados,2012,,Drama
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114,Comedy
tt0427340,Masters of the Universe,Masters of the Universe,2021,,"Action,Adventure,Drama"
tt0427543,A Million Little Pieces,A Million Little Pieces,2018,113,Drama
tt0429493,The A-Team,The A-Team,2010,117,"Action,Adventure,Thriller"
tt0430524,The Rescuer,The Rescuer,2011,84,Documentary
tt0431021,The Possession,The Possession,2012,92,"Horror,Mystery,Thriller"
tt0432010,The Queen of Sheba Meets the Atom Man,The Queen of Sheba Meets the Atom Man,2018,110,Comedy
tt0433035,Real Steel,Real Steel,2011,127,"Action,Drama,Family"
tt0433397,Satin,Satin,2011,84,"Comedy,Drama,Music"
tt0433533,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,2012,100,"Drama,Fantasy,Horror"
tt0433787,L'apocalisse delle scimmie,L'apocalisse delle scimmie,2012,,Drama
tt0435651,The Giver,The Giver,2014,97,"Drama,Romance,Sci-Fi"
tt0435761,Toy Story 3,Toy Story 3,2010,103,"Adventure,Animation,Comedy"
tt0436230,Mexican Devil,The Devil Inside,2010,,"Horror,Thriller"
tt0436782,A Life in the Death of Joe Meek,A Life in the Death of Joe Meek,2013,122,Documentary
tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122,"Action,Adventure,Sci-Fi"
tt0437462,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",2010,93,"Adventure,Romance"
tt0438973,Sealand,Sealand,2019,,"Biography,Drama"
tt0439724,Moving Target,Moving Target,2011,,"Drama,Thriller"
tt0439801,Segurança Nacional,Segurança Nacional,2010,86,Action
tt0441506,Stolen Memories,Stolen Memories,2012,,Documentary
tt0441779,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,2010,90,Documentary
tt0441881,Danger Close: The Battle of Long Tan,Danger Close: The Battle of Long Tan,2019,,"Action,Drama,War"
tt0443272,Lincoln,Lincoln,2012,150,"Biography,Drama,History"
tt0443331,Milenge Milenge,Milenge Milenge,2010,109,"Drama,Romance"
tt0443465,Before We Go,Before We Go,2014,95,"Comedy,Drama,Romance"
tt0443533,The History of Love,The History of Love,2016,134,"Drama,Romance,War"
tt0444531,Vidas pequeñas,Vidas pequeñas,2010,115,Drama
tt0445054,7 Days,Les 7 jours du talion,2010,105,"Crime,Drama,Horror"
tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112,"Action,Comedy,Fantasy"
tt0446686,Dream Street,Dream Street,2010,,Drama
tt0446792,Surviving in L.A.,Surviving in L.A.,2019,,"Comedy,Drama,Romance"
tt0448022,A Bird of the Air,A Bird of the Air,2011,108,"Drama,Romance"
tt0448115,Shazam!,Shazam!,2019,132,"Action,Adventure,Comedy"
tt0448694,Puss in Boots,Puss in Boots,2011,90,"Action,Adventure,Animation"
tt0449005,Diary of a Bad Lad,Diary of a Bad Lad,2010,92,"Comedy,Crime"
tt0451108,Mad World,Mad World,2010,98,Drama
tt0451154,The Passing,The Passing,2011,92,Horror
tt0451201,Clawed,Sludge,2017,95,Horror
tt0451279,Wonder Woman,Wonder Woman,2017,141,"Action,Adventure,Fantasy"
tt0452183,Blunt Movie,Blunt Movie,2013,83,"Comedy,Romance"
tt0452664,Party Crashers,Os Penetras,2012,88,Comedy
tt0453562,42,42,2013,128,"Biography,Drama,Sport"
tt0454155,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,2010,85,"Comedy,Drama,Sci-Fi"
tt0454876,Life of Pi,Life of Pi,2012,127,"Adventure,Drama,Fantasy"
tt0455323,Being Flynn,Being Flynn,2012,102,Drama
tt0455407,The Crazies,The Crazies,2010,101,"Horror,Thriller"
tt0455944,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller"
tt0457591,Memorias del desarrollo,Memorias del desarrollo,2010,113,Drama
tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi"
tt0458413,A Long Way Down,A Long Way Down,2014,96,"Comedy,Drama"
tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102,"Crime,Thriller"
tt0459748,Generation P,Generation P,2011,112,"Comedy,Drama,Sci-Fi"
tt0460528,One Step Beyond: The True Story of Géraldine Fasnacht,One Step Beyond,2012,56,Documentary
tt0460778,Drunkboat,Drunkboat,2010,98,Drama
tt0460809,The Grasslands,The Grasslands,2011,114,Drama
tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,89,Drama
tt0460957,Texxas Jam '78,Texxas Jam '78,2012,60,Documentary
tt0461336,Saving Private Perez,Salvando al Soldado Pérez,2011,105,"Adventure,Comedy,Western"
tt0462036,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,2012,110,Drama
tt0462335,High-Rise,High-Rise,2015,119,"Drama,Horror,Sci-Fi"
tt0462516,Satan Hates You,Satan Hates You,2010,94,Horror
tt0462536,Silent Alarm,Silent Alarm,2011,82,"Comedy,Drama,Thriller"
tt0463311,Federal,Federal,2010,91,"Drama,Thriller"
tt0463960,The Devil You Know,The Devil You Know,2013,76,"Mystery,Thriller"
tt0464032,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",2010,123,"Action,Comedy,Crime"
tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91,"Horror,Thriller"
tt0464154,Piranha 3D,Piranha 3D,2010,88,"Comedy,Horror"
tt0464162,Komaram Puli,Komaram Puli,2010,163,"Action,Crime,Thriller"
tt0464891,Act Your Age,Act Your Age,2011,101,"Comedy,Drama"
tt0465637,Taken by Force,Taken by Force,2010,90,"Action,Drama"
tt0465760,Sensual,Sensual,2010,99,Drama
tt0466553,Golapi Ekhon Bilatey,Golapi Ekhon Bilatey,2010,,Musical
tt0466893,Margaret,Margaret,2011,150,Drama
tt0469021,Alan Partridge,Alan Partridge: Alpha Papa,2013,90,"Action,Comedy,Crime"
tt0469094,Harlem Hostel,Harlem Hostel,2010,81,"Comedy,Drama"
tt0469152,Smoking/Non-Smoking,The Pack,2011,84,Drama
tt0469158,Platinum Illusions,Platinum Illusions,2011,,"Action,Drama"
tt0470752,Ex Machina,Ex Machina,2014,108,"Drama,Mystery,Sci-Fi"
tt0470936,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",2016,104,Drama
tt0471042,Tower Heist,Tower Heist,2011,104,"Action,Comedy,Crime"
tt0472181,The Smurfs,The Smurfs,2011,103,"Adventure,Animation,Comedy"
tt0472399,The Mechanic,The Mechanic,2011,93,"Action,Crime,Thriller"
tt0473032,Escape from Heaven,Escape from Heaven,2018,,"Comedy,Fantasy"
tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116,"Action,Adventure,Fantasy"
tt0473088,Stan,Stan,2011,,Comedy
tt0473122,Bamboo Shark,Bamboo Shark,2011,,Comedy
tt0473343,Cielito lindo,Cielito lindo,2010,91,"Drama,Thriller"
tt0475239,Clutch,Clutch,2012,,"Action,Drama"
tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106,"Comedy,Drama,Music"
tt0475360,Persona Au Gratin,Persona Au Gratin,2012,93,Comedy
tt0475983,The Deafening Silence of a Very Bright Light,The Deafening Silence of a Very Bright Light,2010,92,Drama
tt0476023,Stiffs,Stiffs,2010,104,Comedy
tt0477080,Unstoppable,Unstoppable,2010,98,"Action,Thriller"
tt0477087,Sid Bernstein Presents...,Sid Bernstein Presents...,2010,100,Documentary
tt0477302,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129,"Adventure,Drama,Mystery"
tt0478304,The Tree of Life,The Tree of Life,2011,139,"Drama,Fantasy"
tt0478660,El horror de la dama del lago,El horror de la dama del lago,2010,90,"Fantasy,Horror,Thriller"
tt0478970,Ant-Man,Ant-Man,2015,117,"Action,Adventure,Comedy"
tt0479051,The Greater Meaning of Water,The Greater Meaning of Water,2010,60,"Drama,Sport"
tt0479204,Perfect Life,Perfect Life,2010,98,"Horror,Thriller"
tt0479807,Abhishapt,Abhishapt,2011,,Drama
tt0479997,Season of the Witch,Season of the Witch,2011,95,"Action,Adventure,Fantasy"
tt0480239,Atlas Shrugged: Part I,Atlas Shrugged: Part I,2011,97,"Drama,Mystery,Sci-Fi"
tt0480255,The Losers,The Losers,2010,97,"Action,Adventure,Crime"
tt0480687,Hall Pass,Hall Pass,2011,105,"Comedy,Romance"
tt0481470,Felix Austria!,Felix Austria!,2013,77,"Biography,Documentary,History"
tt0481499,The Croods,The Croods,2013,98,"Action,Adventure,Animation"
tt0482459,Bandage,Bandeiji,2010,119,"Drama,Music,Romance"
tt0482461,Barry Munday,Barry Munday,2010,95,"Comedy,Drama,Romance"
tt0483586,Chasing 3000,Chasing 3000,2010,115,"Family,Sport"
tt0483740,Monkey Man,Monkey Man,2011,,Comedy
tt0483839,A Woman Is a Woman,A Woman Is a Woman,2010,102,"Comedy,Drama"
tt0484037,Gente mala del norte,Gente mala del norte,2011,97,"Drama,History"
tt0484828,La daga de Rasputín,La daga de Rasputín,2011,99,"Adventure,Comedy"
tt0485061,U Want Me 2 Kill Him?,uwantme2killhim?,2013,92,"Drama,Thriller"
tt0485521,Sushi in Suhl,Sushi in Suhl,2012,100,"Comedy,Drama"
tt0485985,Red Tails,Red Tails,2012,125,"Action,Adventure,Drama"
tt0486622,Making Change,Making Change,2012,94,Drama
tt0490075,Aftermath,Aftermath,2013,84,"Crime,Thriller"
tt0490199,PrimeMates,PrimeMates,2010,82,"Comedy,Drama"
tt0490215,Silence,Silence,2016,161,"Adventure,Drama,History"
tt0490236,The Invited,The Invited,2010,95,"Horror,Thriller"
tt0490847,Double Tap,Double Tap,2011,100,"Action,Crime,Drama"
tt0491152,Something Borrowed,Something Borrowed,2011,112,"Comedy,Drama,Romance"
tt0491175,Suburbicon,Suburbicon,2017,105,"Comedy,Crime,Drama"
tt0491203,Tulip Fever,Tulip Fever,2017,105,"Drama,History,Romance"
tt0492389,Furry Vengeance,Furry Vengeance,2010,92,"Comedy,Family"
tt0493076,Nina,Nina,2016,90,"Biography,Drama,Music"
tt0493405,CHIPS,CHIPS,2017,100,"Action,Comedy,Crime"
tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103,"Adventure,Comedy,Family"
tt0494229,Good Sharma,Good Sharma,2010,100,Drama
tt0495024,Bad Blood,Bad Blood,2012,107,"Horror,Mystery,Romance"
tt0495037,O Inimigo Sem Rosto,O Inimigo Sem Rosto,2010,85,"Crime,Drama"
tt0496375,Prisoners of the Sun,Prisoners of the Sun,2013,85,"Action,Adventure,Horror"
tt0498351,The Hero of Color City,The Hero of Color City,2014,77,"Animation,Family"
tt0498381,Rings,Rings,2017,102,"Drama,Horror,Mystery"
tt0499097,Without Remorse,Without Remorse,2020,,"Action,Crime,Drama"
tt0499608,Tranced,Tranced,2010,,"Drama,Fantasy,Romance"
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116,"Biography,Documentary,Music"
tt0758752,Love & Other Drugs,Love & Other Drugs,2010,112,"Comedy,Drama,Romance"
tt0762138,Syrup,Syrup,2013,90,"Comedy,Drama,Romance"
tt0763831,A Thousand Words,A Thousand Words,2012,91,"Comedy,Drama"
tt0765446,Escape from Planet Earth,Escape from Planet Earth,2013,89,"Adventure,Animation,Comedy"
tt0765453,Have You Seen Me?,Have You Seen Me?,2016,,Comedy
tt0765465,The Legend of Secret Pass,The Legend of Secret Pass,2019,92,"Animation,Family,Fantasy"
tt0765485,Waste of Space,Waste of Space,2010,78,"Adventure,Comedy,Sci-Fi"
tt0768187,Me and My Umbrella,Eu e Meu Guarda-Chuva,2010,78,"Family,Fantasy"
tt0768222,Night of the Templar,Night of the Templar,2013,101,"Horror,Mystery"
tt0770703,What's Your Number?,What's Your Number?,2011,106,"Comedy,Romance"
tt0770728,California Indian,California Indian,2011,90,Drama
tt0770778,King of the Avenue,King of the Avenue,2010,83,"Drama,Fantasy,Thriller"
tt0770802,Samsara,Samsara,2011,102,"Documentary,Music"
tt0770819,Till You Get to Baraboo,Till You Get to Baraboo,2011,80,"Comedy,Romance"
tt0770828,Man of Steel,Man of Steel,2013,143,"Action,Adventure,Sci-Fi"
tt0772175,Jersey Justice,Jersey Justice,2014,100,"Action,Thriller"
tt0772179,Kill,Kill,2011,90,"Comedy,Horror,Thriller"
tt0774519,The Chosen Heaven,El cielo elegido,2010,123,"Drama,Thriller"
tt0775440,Cell,Cell,2016,98,"Action,Drama,Horror"
tt0775461,The Rain Fairy,Destová víla,2010,100,"Family,Fantasy"
tt0775489,The Illusionist,L'illusionniste,2010,80,"Animation,Drama"
tt0775543,Night Catches Us,Night Catches Us,2010,90,"Drama,Romance"
tt0780504,Drive,Drive,2011,100,"Crime,Drama"
tt0780548,Kid Cannabis,Kid Cannabis,2014,110,"Biography,Comedy,Crime"
tt0780625,Santorini Blue,Santorini Blue,2013,90,"Comedy,Drama"
tt0780645,War of the Dead,War of the Dead,2011,86,"Action,Adventure,Horror"
tt0780653,The Wolfman,The Wolfman,2010,103,"Drama,Fantasy,Horror"
tt0781441,Escalade,Escalade,2011,80,Thriller
tt0782047,Irreversi,Irreversi,2010,,Thriller
tt0783640,The Last Full Measure,The Last Full Measure,2019,,"Drama,War"
tt0787442,The Attack,The Attack,2012,102,"Drama,Mystery,War"
tt0787474,The Boxtrolls,The Boxtrolls,2014,96,"Adventure,Animation,Comedy"
tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108,"Biography,Drama"
tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100,"Adventure,Comedy,Fantasy"
tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117,"Biography,Drama"
tt0790653,Elliot Loves,Elliot Loves,2012,92,"Comedy,Romance"
tt0790663,The First Grader,The First Grader,2010,103,"Biography,Drama,Romance"
tt0790724,Jack Reacher,Jack Reacher,2012,130,"Action,Crime,Thriller"
tt0790736,R.I.P.D.,R.I.P.D.,2013,96,"Action,Adventure,Comedy"
tt0790770,Miles Ahead,Miles Ahead,2015,100,"Biography,Drama,Music"
tt0790788,The Yellow Wallpaper,The Yellow Wallpaper,2012,115,Thriller
tt0795459,Wilde Salomé,Wilde Salomé,2011,95,"Documentary,Drama"
tt0795461,Scary Movie 5,Scary Movie 5,2013,86,Comedy
tt0798817,13,13,2010,91,"Drama,Thriller"
tt0800054,The Guardians,The Guardians,2010,88,"Comedy,Family"
tt0800092,Ironmen,Ironmen,2010,119,"Biography,Drama"
tt0800320,Clash of the Titans,Clash of the Titans,2010,106,"Action,Adventure,Fantasy"
tt0800325,The Dirt,The Dirt,2019,107,"Biography,Comedy,Drama"
tt0800353,Nemesis,Nemesis,2010,83,Drama
tt0800369,Thor,Thor,2011,115,"Action,Adventure,Fantasy"
tt0803061,Red Dog,Red Dog,2011,92,"Biography,Comedy,Drama"
tt0803096,Warcraft,Warcraft,2016,123,"Action,Adventure,Fantasy"
tt0804463,Devil's Knot,Devil's Knot,2013,114,"Biography,Crime,Drama"
tt0804483,Folk!,Folk!,2010,,Documentary
tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101,"Comedy,Drama,Romance"
tt0804509,The Mule,La mula,2013,100,"Comedy,Drama"
tt0805617,Spoon,Spoon,2011,,"Action,Drama,Fantasy"
tt0805647,The Witches,The Witches,2020,,"Adventure,Comedy,Family"
tt0808245,A Letter to Elia,A Letter to Elia,2010,60,Documentary
tt0808447,The Last Pogo Jumps Again,The Last Pogo Jumps Again,2013,200,"Documentary,Music"
tt0808510,Tooth Fairy,Tooth Fairy,2010,101,"Comedy,Family,Fantasy"
tt0810772,Belle du Seigneur,Belle du Seigneur,2012,104,"Drama,Romance"
tt0810815,Cross the Line,Cross the Line,2010,87,Action
tt0810819,The Danish Girl,The Danish Girl,2015,119,"Biography,Drama,Romance"
tt0810856,Eyes of the Mothman,Eyes of the Mothman,2011,150,Documentary
tt0810913,Jack and Jill,Jack and Jill,2011,91,Comedy
tt0810922,Take Me Home Tonight,Take Me Home Tonight,2011,97,"Comedy,Drama,Romance"
tt0811021,Plumíferos - Aventuras voladoras,Plumíferos - Aventuras voladoras,2010,80,"Adventure,Animation,Family"
tt0811069,Lavoe,The King Hector Lavoe,2011,90,"Drama,Music"
tt0811137,The Do-Deca-Pentathlon,The Do-Deca-Pentathlon,2012,76,Comedy
tt0811613,Meridian Lines,Meridian Lines,2013,,Drama
tt0813992,American Flyer,American Flyer,2010,100,Adventure
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118,"Adventure,Family,Fantasy"
tt0815101,Ashes,Ashes,2010,77,Drama
tt0815236,She's Out of My League,She's Out of My League,2010,104,"Comedy,Romance"
tt0816362,Card Subject to Change,Card Subject to Change,2010,87,Documentary
tt0816442,The Book Thief,The Book Thief,2013,131,"Drama,War"
